endpoint,max_abs_w_shift,max_rel_w_shift,max_matched,min_matched
lambda1_start_expansion96_s359_cont120000,0.04674900857528286,0.030862384012237745,1.8649417281739467,1.0890653518760192
lambda1_start_expansion96_s360_cont120000,0.1051508671628707,0.06590868684245284,1.9208198658136149,1.1077135212585092
lambda1_start_expansion96_s361_cont120000,0.10275237625710898,0.06332731623644909,1.9196328410109087,1.1041686532674135
lambda1_start_expansion96_s362_cont120000,0.058778537193141744,0.04131660674510603,1.8769706355716063,1.081625053446559
lambda1_start_expansion96_s363_cont120000,0.06983579484542446,0.03841933834853599,1.8880273222130024,1.0921949981240158
lambda1_start_expansion96_s364_cont120000,0.07242215959151821,0.04230655603604272,1.8906135533959223,1.0916392592666364
lambda1_start_expansion96_s365_cont120000,0.06031431047042446,0.03317400103315393,1.8785063295395985,1.0970917712416224
lambda1_start_expansion96_s366_cont120000,0.07467426148971157,0.045180844538388984,1.8928655389927016,1.1162524434463283
lambda1_start_expansion96_s367_cont120000,0.06276227323134975,0.03820399814097051,1.880954165884605,1.090830239041105
lambda1_start_expansion96_s368_cont120000,0.06987143842300014,0.04605600591263926,1.8880629639498985,1.1119850273000278
lambda1_start_expansion96_s369_cont120000,0.06154383508285122,0.035037593410278844,1.8797357906578063,1.0940572637466763
lambda1_start_expansion96_s370_cont120000,0.04760803071578579,0.048798040726868,1.8658007059534507,1.0763004967648262
lambda1_start_expansion96_s371_cont120000,0.06896914331039028,0.04000239377412913,1.8871607154329588,1.0879272898423427
lambda1_start_expansion96_s372_cont120000,0.061983002105556295,0.03409181270332172,1.8801749350013661,1.0895484464040477
lambda1_start_expansion96_s373_cont120000,0.04737962571700649,0.030869772542295264,1.8655723127497967,1.0890600934393102
lambda1_start_expansion96_s374_cont120000,0.06223405686935024,0.03464702754763193,1.880425976800372,1.0884031783645107
lambda1_start_expansion96_s375_cont120000,0.06917680589278774,0.04015873767099005,1.8873683672913957,1.0914260004445477
lambda1_start_expansion96_s376_cont120000,0.05762411443313198,0.0359366275197465,1.87581627242746,1.1079469374213158
lambda1_start_expansion96_s377_cont120000,0.05385698167403774,0.029622349186486634,1.8720493342079059,1.091283438382658
lambda1_start_expansion96_s378_cont120000,0.07493699876388149,0.04385001119828622,1.8931282626987835,1.091975312323727
lambda1_start_expansion96_s379_cont120000,0.08495975381848231,0.05981456029430416,1.9009060287488921,1.1281129448220242
lambda1_start_expansion96_s380_cont120000,0.06414927331527309,0.03543741647734516,1.882341094342075,1.0863832570190364
lambda1_start_expansion96_s381_cont120000,0.04979543751351767,0.030689425718587245,1.8677483659505805,1.1080600911890177
lambda1_start_expansion96_s382_cont120000,0.06352425901015835,0.037758770690323344,1.881716112313496,1.0934925660712
lambda1_start_expansion96_s383_cont120000,0.0468084940107687,0.032462000769690864,1.8650012105375287,1.0879269003285121
lambda1_start_expansion96_s384_cont120000,0.09150494424422817,0.05531439764282166,1.9096953525892966,1.0991367188506933
lambda1_start_expansion96_s385_cont120000,0.10079186028115683,0.06211903065008882,1.918741916791645,1.1036221653635039
lambda1_start_expansion96_s386_cont120000,0.059257639327846334,0.03986065584988247,1.8774497129648657,1.0826612576136123
lambda1_start_expansion96_s387_cont120000,0.06397975770553188,0.03519006570198656,1.882171587486336,1.0878246529480586
