seed,run,chi2_total,max_abs_norm_pull,max_norm_pull_dataset,best_epoch,epochs_run,best_objective,restored_best,chi2_E288_200,ratio_E288_200,chi2_E288_300,ratio_E288_300,chi2_E288_400,ratio_E288_400,chi2_E605,ratio_E605,chi2_E772,ratio_E772
1021,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1021,1.853720594799419,1.8566333055496216,E288_400,300,300,1.8792091035284102,True,1.5777597204558345,0.9880443731019939,2.4021945243398095,0.9456378944435692,1.6765340864887355,0.9909965592285912,1.5418627004493999,0.9742257449037857,2.047779689233521,0.9606144221275431
1022,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1022,1.793919916192891,1.5478054285049438,E288_400,300,300,1.8031927982810885,True,1.0664206868926076,1.0049880360065784,1.5398802234608837,0.9662950593476118,2.085796829784703,1.0131201637959646,1.9527466415053993,0.9801539119006206,2.048492987282297,0.9720126129048066
1023,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1023,1.6083059240464013,1.8534849882125854,E288_200,300,300,1.619790742523037,True,1.3625982950180515,0.9980327967741535,1.6756264754678227,0.9735560489087125,1.6365166985183826,0.9907281388448099,1.6426137014126785,0.994492812428753,1.6613294999505657,0.9911443877525137
1024,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1024,2.051938967027938,2.4438157081604004,E288_400,300,300,2.08149614976719,True,1.6551236746763944,0.9625756885660881,1.531814054038558,0.9877722376874113,2.541931809643745,1.0032336820653214,2.161220144674106,0.9844229689315303,2.0927455576974388,0.9702715169089077
1025,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1025,1.634928965464779,1.7806235551834106,E288_200,300,300,1.6463656777050346,True,1.310343474455725,0.9932904193103309,1.763357410172656,0.9724589762508316,1.5891732076779153,1.0025717993574659,1.6942590015029997,0.9978719711515767,1.764574641453705,1.005618296301638
1026,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1026,1.9876406911907365,1.2173326015472412,E772,300,300,1.9990898517426103,True,1.3199178534310234,0.9538829136982203,2.171704325796786,0.972135380011736,2.034534843329742,0.9968057040392077,2.078295203884476,0.9757466297214564,2.171568251157326,0.9809712049518278
1027,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1027,1.941881902745994,1.0018388032913208,E772,300,300,1.9529135427437723,True,1.9360724406250478,0.9635311280454799,1.721111457268685,0.9833910880783907,1.2547199087072083,1.0294432404726108,2.2718931275911665,0.9943341010150613,2.7609843843754804,0.9744681767407826
1028,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1028,1.8968426052611222,1.786460041999817,E605,300,300,1.9102039956487715,True,1.8378572212118942,1.0048167263998407,1.9433811497254427,0.95213033156835,1.7609554425005671,1.000092037195475,2.369085820402792,1.0216584410584353,1.6722590707032379,0.9605035795266749
1029,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1029,1.8096228263865999,1.8716930150985718,E605,300,300,1.8279580320231616,True,1.3517134244282003,0.9554085102128479,1.552944811831641,0.9707761165555489,1.7997997002292334,1.0004488009438446,2.604267393668087,0.9871185724907781,1.7193556788772513,0.9497759665154967
1030,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1030,2.1519943564324526,3.017364978790283,E772,300,300,2.1887701868545264,True,1.0718583575006995,1.0097787052813243,2.026061086951073,0.9225179708497728,1.9265756720237148,1.0101614432323447,1.6407616288009519,1.0073839721649547,3.7900046860078667,0.96744800056353
