endpoint,row_id,W_lambda1_fiducial
lambda1_start_expansion96_s370_cont120000,LHCb_7:11,0.4481391906738281
lambda1_start_expansion96_s371_cont120000,LHCb_7:11,0.4471306800842285
lambda1_start_expansion96_s372_cont120000,LHCb_7:11,0.4484705924987793
lambda1_start_expansion96_s373_cont120000,LHCb_7:11,0.4469658136367798
lambda1_start_expansion96_s374_cont120000,LHCb_7:11,0.4476269483566284
lambda1_start_expansion96_s375_cont120000,LHCb_7:11,0.44676172733306885
lambda1_start_expansion96_s376_cont120000,LHCb_7:11,0.44788575172424316
lambda1_start_expansion96_s377_cont120000,LHCb_7:11,0.44704556465148926
lambda1_start_expansion96_s378_cont120000,LHCb_7:11,0.44692039489746094
lambda1_start_expansion96_s379_cont120000,LHCb_7:11,0.44795775413513184
lambda1_start_expansion96_s380_cont120000,LHCb_7:11,0.4459402561187744
lambda1_start_expansion96_s381_cont120000,LHCb_7:11,0.4446272850036621
lambda1_start_expansion96_s382_cont120000,LHCb_7:11,0.44780611991882324
lambda1_start_expansion96_s383_cont120000,LHCb_7:11,0.444629430770874
lambda1_start_expansion96_s384_cont120000,LHCb_7:11,0.4478250741958618
lambda1_start_expansion96_s385_cont120000,LHCb_7:11,0.4493696689605713
lambda1_start_expansion96_s386_cont120000,LHCb_7:11,0.4484196901321411
lambda1_start_expansion96_s387_cont120000,LHCb_7:11,0.44759225845336914
lambda1_start_expansion96_s388_cont120000,LHCb_7:11,0.4475001096725464
lambda1_start_expansion96_s389_cont120000,LHCb_7:11,0.447415828704834
lambda1_start_expansion96_s390_cont120000,LHCb_7:11,0.4468510150909424
lambda1_start_expansion96_s391_cont120000,LHCb_7:11,0.44739043712615967
lambda1_start_expansion96_s392_cont120000,LHCb_7:11,0.44754016399383545
lambda1_start_expansion96_s393_cont120000,LHCb_7:11,0.446663498878479
lambda1_start_expansion96_s394_cont120000,LHCb_7:11,0.44802165031433105
lambda1_start_expansion96_s395_cont120000,LHCb_7:11,0.44729626178741455
lambda1_start_expansion96_s396_cont120000,LHCb_7:11,0.44821345806121826
lambda1_start_expansion96_s397_cont120000,LHCb_7:11,0.4470170736312866
lambda1_start_expansion96_s398_cont120000,LHCb_7:11,0.44717323780059814
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s303,LHCb_7:12,0.16028332710266113
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s304,LHCb_7:12,0.16058969497680664
