endpoint,profile,optimizer_success,data_chi2,data_chi2_per_row,total_chi2,total_chi2_per_row,matching_nuisance_sigma,nlo_scale_nuisance_sigma,max_absolute_pull,min_prediction,max_prediction,pass_diagnostic_gate
lambda1_start_expansion48_s332_cont120000,early_0p18_0p28,True,5.166604973596444,1.291651243399111,23.8662266578323,5.966556664458075,-0.702306536474813,4.26689432879004,1.8066371120602127,0.007773428130591739,0.9952181349328154,False
lambda1_start_expansion48_s332_cont120000,central_0p20_0p30,True,5.2279216423462564,1.3069804105865641,24.175625041494566,6.0439062603736415,-0.9242242404979577,4.253647017845308,1.8523435335263991,0.007762554684108872,0.9976036334437732,False
lambda1_start_expansion48_s332_cont120000,late_0p22_0p32,True,5.285841675787564,1.321460418946891,24.267942636414872,6.066985659103718,-0.9903973548850217,4.242783760700521,1.8898243937271366,0.007753638078641826,0.9992524495486381,False
lambda1_start_expansion48_s333_cont120000,early_0p18_0p28,True,5.166767053523811,1.2916917633809528,23.920001357117194,5.980000339279298,-0.731325282674133,4.268301492926077,1.801782056015847,0.0077745831366144436,0.99471164898262,False
lambda1_start_expansion48_s333_cont120000,central_0p20_0p30,True,5.2287755906593745,1.3071938976648436,24.255354225055395,6.063838556263849,-0.9637661891946226,4.2541430825680155,1.850631990452852,0.007762961856042625,0.9972351719801019,False
lambda1_start_expansion48_s333_cont120000,late_0p22_0p32,True,5.290111918126666,1.3225279795316665,24.353617160880745,6.088404290220186,-1.0327860061853218,4.242270419030575,1.8915955464403618,0.007753216725719797,0.9989593050134031,False
lambda1_start_expansion48_s334_cont120000,early_0p18_0p28,True,5.166826186723772,1.291706546680943,23.838005096150756,5.959501274037689,-0.686429976864265,4.266144957252286,1.80922262480935,0.007772813043398153,0.995487905886467,False
lambda1_start_expansion48_s334_cont120000,central_0p20_0p30,True,5.227540572725694,1.3068851431814235,24.134008016563545,6.033502004140886,-0.9027918398700844,4.253402677586715,1.85318656641715,0.007762354128634897,0.9977985793080079,False
lambda1_start_expansion48_s334_cont120000,late_0p22_0p32,True,5.28318882468181,1.3207972061704525,24.22371284659105,6.055928211647762,-0.9674668652014151,4.243174741469716,1.8884754156668693,0.007753958997240884,0.9994082824157898,False
lambda1_start_expansion48_s335_cont120000,early_0p18_0p28,True,5.166818189495847,1.2917045473739617,23.924843025373626,5.9812107563434065,-0.7338640452953037,4.268426923223659,1.8013492912026847,0.007774686090310765,0.9946664987677358,False
lambda1_start_expansion48_s335_cont120000,central_0p20_0p30,True,5.22887452802528,1.30721863200632,24.26254780485889,6.065636951214723,-0.9672499369685502,4.254186271928857,1.85048297672941,0.007762997306044946,0.9972021744295508,False
lambda1_start_expansion48_s335_cont120000,late_0p22_0p32,True,5.29054283625719,1.3226357090642975,24.36132694928542,6.090331737321355,-1.036525582214918,4.242216263987759,1.8917823944144005,0.007753172275041293,0.9989329539907651,False
lambda1_start_expansion48_s336_cont120000,early_0p18_0p28,True,5.166861736129508,1.291715434032377,23.83506809108294,5.958767022770735,-0.6847503324538353,4.266066494694825,1.8094933395782242,0.007772748641013169,0.9955161479606379,False
lambda1_start_expansion48_s336_cont120000,central_0p20_0p30,True,5.227520487309212,1.306880121827303,24.12966970297785,6.0324174257444625,-0.9005338391186065,4.253373722149388,1.8532864696675342,0.007762330361894652,0.9978189425351883,False
lambda1_start_expansion48_s336_cont120000,late_0p22_0p32,True,5.283011650053522,1.3207529125133806,24.219024193462957,6.054756048365739,-0.9650525898483268,4.243192906554741,1.888412741737377,0.007753973907216251,0.9994243640177587,False
lambda1_start_expansion48_s337_cont120000,early_0p18_0p28,True,5.167868414295504,1.291967103573876,23.784042780686306,5.9460106951715765,-0.6546802562757987,4.264688514819512,1.814247702876237,0.00777161758954988,0.9960122517281995,False
lambda1_start_expansion48_s337_cont120000,central_0p20_0p30,True,5.2270305037460725,1.3067576259365181,24.05477203832315,6.013693009580788,-0.860348083466772,4.2529451806779885,1.854765041219846,0.0077619786133190805,0.9981749395152573,False
lambda1_start_expansion48_s337_cont120000,late_0p22_0p32,True,5.277927938391574,1.3194819845978936,24.14000827977153,6.035002069942882,-0.9221449857155319,4.244022733998919,1.885549636684126,0.007754655032943723,0.9997093338811847,False
lambda1_start_expansion48_s338_cont120000,early_0p18_0p28,True,5.1669520849114985,1.2917380212278746,23.828338452927717,5.957084613231929,-0.680881357142366,4.265886419668506,1.8101146419000902,0.0077726008347021565,0.9955809863217071,False
lambda1_start_expansion48_s338_cont120000,central_0p20_0p30,True,5.227425018641143,1.3068562546602858,24.119784328996346,6.0299460822490865,-0.8953345444073896,4.253320510371399,1.8534700631501553,0.007762286685451739,0.997865633360731,False
lambda1_start_expansion48_s338_cont120000,late_0p22_0p32,True,5.282244589560074,1.3205611473900185,24.208654015450037,6.052163503862509,-0.9594954755452925,4.243321559615542,1.8879688576129339,0.007754079506169678,0.9994619394782454,False
lambda1_start_expansion48_s339_cont120000,early_0p18_0p28,True,5.166858856892666,1.2917147142231664,23.83526526597175,5.958816316492937,-0.6848629961667754,4.2660718565866365,1.80947483975679,0.007772753042075687,0.9955142541688436,False
lambda1_start_expansion48_s339_cont120000,central_0p20_0p30,True,5.227465532821111,1.3068663832052778,24.13001449675131,6.032503624187828,-0.9006809837278021,4.2533895576917615,1.85323183322268,0.007762343359771976,0.9978175528476853,False
