endpoint,profile,optimizer_success,data_chi2,data_chi2_per_row,total_chi2,total_chi2_per_row,matching_nuisance_sigma,nnlo_scale_nuisance_sigma,max_whitened_pull,min_prediction,max_prediction,all_positive
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s323,central_0p20_0p30,True,14.400226019993038,3.6000565049982596,26.20206357885308,6.55051589471327,2.555225137825908,2.2962277878909596,3.160748177662607,0.007838845846556258,0.9560188524852999,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s323,late_0p22_0p32,True,15.461582219776648,3.865395554944162,30.56981820189641,7.642454550474103,3.24426922978491,2.1407833021561498,3.152564726973827,0.00774852736791567,0.9500351496186823,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s324,early_0p18_0p28,True,11.259552409554644,2.814888102388661,18.26965913585124,4.56741478396281,0.8576252408251696,2.5049123083645393,3.000352884865385,0.007960098577496933,0.9811605651412726,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s324,central_0p20_0p30,True,14.52931237665474,3.632328094163685,26.329292335955806,6.5823230839889515,2.557449632092479,2.29334501081087,3.16792453136711,0.007837170856035348,0.9552371422248169,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s324,late_0p22_0p32,True,15.640077698712947,3.9100194246782367,30.802485674112773,7.700621418528193,3.257094146520454,2.1339507248533227,3.1599358501353554,0.007744557410510823,0.9489859821762815,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s325,early_0p18_0p28,True,11.179940276386128,2.794985069096532,18.29034495338315,4.572586238345788,0.9183797605022054,2.503394354171339,2.9907018164675923,0.007959216595014713,0.981896349718979,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s325,central_0p20_0p30,True,13.735307986298219,3.4338269965745547,25.50506645469573,6.376266613673932,2.5348620036387848,2.3117597390096303,3.12172204122386,0.007847870432978394,0.9602488342719405,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s325,late_0p22_0p32,True,14.560619139190893,3.640154784797723,29.320998506216732,7.330249626554183,3.1659562628187077,2.1764880677239744,3.1116308895045535,0.0077692730385714075,0.9556060010221741,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s326,early_0p18_0p28,True,11.32336428204674,2.830841070511685,18.2417678214835,4.560441955370875,0.7987031948936372,2.5060879365863156,3.007827239353656,0.007960781657066696,0.9805907478489911,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s326,central_0p20_0p30,True,15.380827517215398,3.8452068793038494,27.114508381227484,6.778627095306871,2.560544225964454,2.275366812382606,3.2129724587974224,0.00782672491758302,0.9503472520893406,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s326,late_0p22_0p32,True,16.85294962407784,4.21323740601946,32.280208907819805,8.070052226954951,3.325097629905159,2.0906900859144706,3.208586493146787,0.007719421523087691,0.942270779546572,True
lambda1_start_expansion48_s327_cont320000,early_0p18_0p28,True,11.306312081153159,2.8265780202882897,18.250504053439826,4.5626260133599565,0.8156427413475709,2.505777103170529,3.0058512203840566,0.007960601052389136,0.9807413828850369,True
