dataset,row_id,qT,QM,y,xF,x1,x2,SqrtS,BeamE,CS,error,A,dA,PreFactor,sysNorm,sysP2P,target,unit,qT_over_Q,CS_from_A_over_PreFactor,error_from_dA_over_PreFactor,relerr_CS_vs_A_over_PreFactor,relerr_error_vs_dA_over_PreFactor,source_file,source_row,y_Low,y_High,QM_Low,QM_High,xF_Low,xF_High,frac_error
E288_300,E288_300:40,1.7,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,1.175428571,0.1496,0.11,0.014,0.093582888,0.00%,0.00%,,,0.26153846153846155,1.1754285676672,0.14959999952128,2.8353913782387844e-09,3.200000054004923e-09,Data/E288_300.csv,40,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.127272727
E288_300,E288_300:41,1.9,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,0.859885714,0.155257143,0.072,0.013,0.083732057,0.00%,0.00%,,,0.29230769230769227,0.8598857185605747,0.15525714362899265,5.303698616254504e-09,4.051296119504331e-09,Data/E288_300.csv,41,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.180555556
E288_300,E288_300:42,2.1,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,0.53856,0.13068,0.0408,0.0099,0.075757576,0.00%,0.00%,,,0.3230769230769231,0.538559998276608,0.13067999958182402,3.1999999715462907e-09,3.1999997404122463e-09,Data/E288_300.csv,42,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.242647059
E288_300,E288_300:43,2.3,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,0.316611429,0.098308571,0.0219,0.0068,0.06916996,0.00%,0.00%,,,0.3538461538461538,0.3166114307424784,0.09830857210268734,5.503523292628971e-09,1.1216594042891272e-08,Data/E288_300.csv,43,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.310502283
E288_300,E288_300:44,2.5,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,0.298571429,0.102142857,0.019,0.0065,0.063636364,0.00%,0.00%,,,0.38461538461538464,0.29857142686530613,0.10214285655918368,7.1496923642958414e-09,4.315684334976247e-09,Data/E288_300.csv,44,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.342105263
E288_300,E288_300:45,2.7,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,0.134074286,0.067885714,0.0079,0.004,0.058922559,0.00%,0.00%,,,0.4153846153846154,0.13407428553807382,0.06788571419649306,3.4453001971309614e-09,2.894468449826323e-09,Data/E288_300.csv,45,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.506329114
E288_300,E288_300:46,2.9,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,0.200514286,0.091142857,0.011,0.005,0.054858934,0.00%,0.00%,,,0.4461538461538461,0.20051428633301552,0.09114285742409796,1.6608068689351759e-09,4.6531124551646045e-09,Data/E288_300.csv,46,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.454545455
E288_300,E288_300:47,3.1,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,0.037022857,0.037022857,0.0019,0.0019,0.051319648,0.00%,0.00%,,,0.47692307692307695,0.03702285721055608,0.03702285721055608,5.687191518439071e-09,5.687191518439071e-09,Data/E288_300.csv,47,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,1.0
E288_300,E288_300:50,0.1,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.179771429,0.024514286,0.286,0.039,1.590909091,0.00%,0.00%,,,0.013333333333333334,0.17977142856115588,0.024514285712884897,2.441122764305749e-09,1.1712154395454357e-08,Data/E288_300.csv,50,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.136363636
E288_300,E288_300:51,0.3,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.477085714,0.041485714,0.253,0.022,0.53030303,0.00%,0.00%,,,0.04,0.4770857145583347,0.041485714309420406,1.170302724982139e-09,7.45848085575019e-09,Data/E288_300.csv,51,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.086956522
E288_300,E288_300:52,0.5,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.744857143,0.059714286,0.237,0.019,0.318181818,0.00%,0.00%,,,0.06666666666666667,0.7448571432827754,0.05971428574840816,3.796370367584833e-10,4.21326041880696e-09,Data/E288_300.csv,52,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.080168776
E288_300,E288_300:53,0.7,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.8668,0.0704,0.197,0.016,0.227272727,0.00%,0.00%,,,0.09333333333333332,0.86680000104016,0.07040000008448,1.199999950296885e-09,1.1999998912586495e-09,Data/E288_300.csv,53,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.081218274
E288_300,E288_300:54,0.9,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.820285714,0.0792,0.145,0.014,0.176767677,0.00%,0.00%,,,0.12000000000000001,0.8202857132076243,0.07919999989590856,9.659752779663623e-10,1.3142859065372367e-09,Data/E288_300.csv,54,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.096551724
E288_300,E288_300:55,1.1,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.760571429,0.082971429,0.11,0.012,0.144628099,0.00%,0.00%,,,0.14666666666666667,0.7605714294841143,0.08297142867099429,6.365139228650785e-10,3.965289202907041e-09,Data/E288_300.csv,55,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.109090909
E288_300,E288_300:56,1.3,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.638188571,0.08008,0.0781,0.0098,0.122377622,0.00%,0.00%,,,0.17333333333333334,0.6381885733978391,0.08008000024710399,3.757257867640276e-09,3.085714151911563e-09,Data/E288_300.csv,56,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.125480154
E288_300,E288_300:57,1.5,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.358285714,0.067885714,0.038,0.0072,0.106060606,0.00%,0.00%,,,0.2,0.358285714490449,0.06788571432450612,1.3688768345995954e-09,4.780182688677944e-09,Data/E288_300.csv,57,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.189473684
E288_300,E288_300:58,1.7,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.495817143,0.087622857,0.0464,0.0082,0.093582888,0.00%,0.00%,,,0.22666666666666666,0.49581714127052795,0.087622856862464,3.4881247854699104e-09,1.569636065171747e-09,Data/E288_300.csv,58,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.176724138
E288_300,E288_300:59,1.9,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.229302857,0.05852,0.0192,0.0049,0.083732057,0.00%,0.00%,,,0.2533333333333333,0.2293028582828199,0.058520000290928,5.594434868642376e-09,4.971428494952476e-09,Data/E288_300.csv,59,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.255208333
E288_300,E288_300:60,2.1,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.33,0.0792,0.025,0.006,0.075757576,0.00%,0.00%,,,0.28,0.32999999894400006,0.07919999974656002,3.1999998610517237e-09,3.1999998890876585e-09,Data/E288_300.csv,60,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.24
E288_300,E288_300:61,2.3,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.170594286,0.059274286,0.0118,0.0041,0.06916996,0.00%,0.00%,,,0.30666666666666664,0.1705942868840751,0.059274286120737964,5.1823253114743665e-09,2.0369365739739064e-09,Data/E288_300.csv,61,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.347457627
E288_300,E288_300:62,2.5,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.081714286,0.042428571,0.0052,0.0027,0.063636364,0.00%,0.00%,,,0.3333333333333333,0.08171428524734693,0.04242857118612245,9.21078922322971e-09,4.386724454339901e-09,Data/E288_300.csv,62,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.519230769
E288_300,E288_300:63,2.9,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.020051429,0.020051429,0.0011,0.0011,0.054858934,0.00%,0.00%,,,0.38666666666666666,0.020051428633301553,0.020051428633301553,1.8287895885817416e-08,1.8287895885817416e-08,Data/E288_300.csv,63,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,1.0
E288_300,E288_300:64,3.1,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.023382857,0.023382857,0.0012,0.0012,0.051319648,0.00%,0.00%,,,0.41333333333333333,0.023382857185614364,0.023382857185614364,7.938053193547828e-09,7.938053193547828e-09,Data/E288_300.csv,64,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,1.0
E288_300,E288_300:67,0.1,8.5,0.21,0.151592794,0.442021834,0.290429041,23.72340616,300.0,0.060342857,0.012571429,0.096,0.02,1.590909091,0.00%,0.00%,,,0.011764705882352941,0.06034285713940898,0.012571428570710204,2.310281349381997e-09,3.414805082375343e-08,Data/E288_300.csv,67,0.198488402,0.222917779,8.0,9.0,0.142675571,0.160510017,0.208333333
E288_300,E288_300:68,0.3,8.5,0.21,0.151592794,0.442021834,0.290429041,23.72340616,300.0,0.132,0.020742857,0.07,0.011,0.53030303,0.00%,0.00%,,,0.03529411764705882,0.1320000000754286,0.020742857154710203,5.714286364053538e-10,7.45848085575019e-09,Data/E288_300.csv,68,0.198488402,0.222917779,8.0,9.0,0.142675571,0.160510017,0.157142857
E288_300,E288_300:69,0.5,8.5,0.21,0.151592794,0.442021834,0.290429041,23.72340616,300.0,0.22,0.028285714,0.07,0.009,0.318181818,0.00%,0.00%,,,0.058823529411764705,0.2200000001257143,0.028285714301877547,5.714286364053538e-10,1.0672438533579672e-08,Data/E288_300.csv,69,0.198488402,0.222917779,8.0,9.0,0.142675571,0.160510017,0.128571429
E288_300,E288_300:70,0.7,8.5,0.21,0.151592794,0.442021834,0.290429041,23.72340616,300.0,0.3212,0.0396,0.073,0.009,0.227272727,0.00%,0.00%,,,0.08235294117647059,0.32120000038543994,0.03960000004752,1.1999998669552388e-09,1.1999998693555755e-09,Data/E288_300.csv,70,0.198488402,0.222917779,8.0,9.0,0.142675571,0.160510017,0.123287671
E288_300,E288_300:71,0.9,8.5,0.21,0.151592794,0.442021834,0.290429041,23.72340616,300.0,0.299828571,0.0396,0.053,0.007,0.176767677,0.00%,0.00%,,,0.10588235294117647,0.299828571034511,0.03959999994795428,1.1510245686607542e-10,1.3142859065372367e-09,Data/E288_300.csv,71,0.198488402,0.222917779,8.0,9.0,0.142675571,0.160510017,0.132075472
E288_300,E288_300:72,1.1,8.5,0.21,0.151592794,0.442021834,0.290429041,23.72340616,300.0,0.359542857,0.055314286,0.052,0.008,0.144628099,0.00%,0.00%,,,0.12941176470588237,0.35954285757430854,0.05531428578066285,1.597329867820084e-09,3.96528928653696e-09,Data/E288_300.csv,72,0.198488402,0.222917779,8.0,9.0,0.142675571,0.160510017,0.153846154
E288_300,E288_300:73,1.3,8.5,0.21,0.151592794,0.442021834,0.290429041,23.72340616,300.0,0.261485714,0.049028571,0.032,0.006,0.122377622,0.00%,0.00%,,,0.15294117647058825,0.2614857150925845,0.04902857157985959,4.178371741905769e-09,1.1826972971352329e-08,Data/E288_300.csv,73,0.198488402,0.222917779,8.0,9.0,0.142675571,0.160510017,0.1875
E288_300,E288_300:74,1.5,8.5,0.21,0.151592794,0.442021834,0.290429041,23.72340616,300.0,0.169714286,0.037714286,0.018,0.004,0.106060606,0.00%,0.00%,,,0.17647058823529413,0.1697142858112653,0.03771428573583673,1.1120731141013386e-09,7.0043290133934935e-09,Data/E288_300.csv,74,0.198488402,0.222917779,8.0,9.0,0.142675571,0.160510017,0.222222222
E288_300,E288_300:75,1.7,8.5,0.21,0.151592794,0.442021834,0.290429041,23.72340616,300.0,0.108994286,0.036331429,0.0102,0.0034,0.093582888,0.00%,0.00%,,,0.19999999999999998,0.10899428536550401,0.036331428455168,5.821369237020188e-09,1.4996162109696742e-08,Data/E288_300.csv,75,0.198488402,0.222917779,8.0,9.0,0.142675571,0.160510017,0.333333333
E288_300,E288_300:76,1.9,8.5,0.21,0.151592794,0.442021834,0.290429041,23.72340616,300.0,0.027468571,0.015525714,0.0023,0.0013,0.083732057,0.00%,0.00%,,,0.22352941176470587,0.02746857156512947,0.015525714362899266,2.0573675251275906e-08,2.3374078493949056e-08,Data/E288_300.csv,76,0.198488402,0.222917779,8.0,9.0,0.142675571,0.160510017,0.565217391
E288_300,E288_300:77,2.1,8.5,0.21,0.151592794,0.442021834,0.290429041,23.72340616,300.0,0.0924,0.0396,0.007,0.003,0.075757576,0.00%,0.00%,,,0.24705882352941178,0.09239999970432002,0.03959999987328001,3.1999997889593197e-09,3.1999998890876585e-09,Data/E288_300.csv,77,0.198488402,0.222917779,8.0,9.0,0.142675571,0.160510017,0.428571429
E288_300,E288_300:78,2.3,8.5,0.21,0.151592794,0.442021834,0.290429041,23.72340616,300.0,0.023131429,0.017348571,0.0016,0.0012,0.06916996,0.00%,0.00%,,,0.27058823529411763,0.023131428730044083,0.01734857154753306,1.1670524776519428e-08,3.1560699914535975e-08,Data/E288_300.csv,78,0.198488402,0.222917779,8.0,9.0,0.142675571,0.160510017,0.75
E288_300,E288_300:79,2.5,8.5,0.21,0.151592794,0.442021834,0.290429041,23.72340616,300.0,0.013828571,0.013985714,0.00088,0.00089,0.063636364,0.00%,0.00%,,,0.29411764705882354,0.013828571349551021,0.013985714205795918,2.52774500685911e-08,1.4714723572401454e-08,Data/E288_300.csv,79,0.198488402,0.222917779,8.0,9.0,0.142675571,0.160510017,1.011363636
