qT,A,PreFactor,CS,dA,error,sysNorm,sysP2P,y,y_Low,y_High,QM,QM_Low,QM_High,SqrtS,xF,xF_Low,xF_High,x1,x2,BeamE,frac_error
2.5,0.014,0.063636364,0.22,0.002,0.031428571,0.00%,0.00%,0.03,0.028125511,0.032142144,7.5,7,8,27.39342987,0.016429761,0.015334444,0.017525078,0.282126373,0.265696612,400,0.142857143
2.7,0.0077,0.058922559,0.13068,0.0012,0.020365714,0.00%,0.00%,0.03,0.028125511,0.032142144,7.5,7,8,27.39342987,0.016429761,0.015334444,0.017525078,0.282126373,0.265696612,400,0.155844156
2.9,0.0058,0.054858934,0.105725714,0.0011,0.020051429,0.00%,0.00%,0.03,0.028125511,0.032142144,7.5,7,8,27.39342987,0.016429761,0.015334444,0.017525078,0.282126373,0.265696612,400,0.189655172
3.1,0.003,0.051319648,0.058457143,0.0007,0.01364,0.00%,0.00%,0.03,0.028125511,0.032142144,7.5,7,8,27.39342987,0.016429761,0.015334444,0.017525078,0.282126373,0.265696612,400,0.233333333
3.3,0.0011,0.048209366,0.022817143,0.0004,0.008297143,0.00%,0.00%,0.03,0.028125511,0.032142144,7.5,7,8,27.39342987,0.016429761,0.015334444,0.017525078,0.282126373,0.265696612,400,0.363636364
3.5,0.0024,0.045454545,0.0528,0.0007,0.0154,0.00%,0.00%,0.03,0.028125511,0.032142144,7.5,7,8,27.39342987,0.016429761,0.015334444,0.017525078,0.282126373,0.265696612,400,0.291666667
3.7,0.0022,0.042997543,0.051165714,0.0007,0.01628,0.00%,0.00%,0.03,0.028125511,0.032142144,7.5,7,8,27.39342987,0.016429761,0.015334444,0.017525078,0.282126373,0.265696612,400,0.318181818
3.9,0.00094,0.040792541,0.023043429,0.00047,0.011521714,0.00%,0.00%,0.03,0.028125511,0.032142144,7.5,7,8,27.39342987,0.016429761,0.015334444,0.017525078,0.282126373,0.265696612,400,0.5
4.1,0.00026,0.038802661,0.006700571,0.00027,0.006958286,0.00%,0.00%,0.03,0.028125511,0.032142144,7.5,7,8,27.39342987,0.016429761,0.015334444,0.017525078,0.282126373,0.265696612,400,1.038461538
4.3,0.00026,0.036997886,0.007027429,0.00026,0.007027429,0.00%,0.00%,0.03,0.028125511,0.032142144,7.5,7,8,27.39342987,0.016429761,0.015334444,0.017525078,0.282126373,0.265696612,400,1
4.5,0.00028,0.035353535,0.00792,0.00048,0.013577143,0.00%,0.00%,0.03,0.028125511,0.032142144,7.5,7,8,27.39342987,0.016429761,0.015334444,0.017525078,0.282126373,0.265696612,400,1.714285714
4.7,0.00057,0.03384913,0.016839429,0.0004,0.011817143,0.00%,0.00%,0.03,0.028125511,0.032142144,7.5,7,8,27.39342987,0.016429761,0.015334444,0.017525078,0.282126373,0.265696612,400,0.701754386
0.1,0.158,1.590909091,0.099314286,0.009,0.005657143,0.00%,0.00%,0.03,0.028333792,0.031874384,8.5,8,9,27.39342987,0.018620396,0.017525078,0.019715713,0.319743222,0.301122827,400,0.056962025
0.3,0.138,0.53030303,0.260228571,0.005,0.009428571,0.00%,0.00%,0.03,0.028333792,0.031874384,8.5,8,9,27.39342987,0.018620396,0.017525078,0.019715713,0.319743222,0.301122827,400,0.036231884
0.5,0.122,0.318181818,0.383428571,0.004,0.012571429,0.00%,0.00%,0.03,0.028333792,0.031874384,8.5,8,9,27.39342987,0.018620396,0.017525078,0.019715713,0.319743222,0.301122827,400,0.032786885
0.7,0.112,0.227272727,0.4928,0.004,0.0176,0.00%,0.00%,0.03,0.028333792,0.031874384,8.5,8,9,27.39342987,0.018620396,0.017525078,0.019715713,0.319743222,0.301122827,400,0.035714286
0.9,0.083,0.176767677,0.469542857,0.003,0.016971429,0.00%,0.00%,0.03,0.028333792,0.031874384,8.5,8,9,27.39342987,0.018620396,0.017525078,0.019715713,0.319743222,0.301122827,400,0.036144578
1.1,0.063,0.144628099,0.4356,0.003,0.020742857,0.00%,0.00%,0.03,0.028333792,0.031874384,8.5,8,9,27.39342987,0.018620396,0.017525078,0.019715713,0.319743222,0.301122827,400,0.047619048
1.3,0.047,0.122377622,0.384057143,0.002,0.016342857,0.00%,0.00%,0.03,0.028333792,0.031874384,8.5,8,9,27.39342987,0.018620396,0.017525078,0.019715713,0.319743222,0.301122827,400,0.042553191
1.5,0.039,0.106060606,0.367714286,0.002,0.018857143,0.00%,0.00%,0.03,0.028333792,0.031874384,8.5,8,9,27.39342987,0.018620396,0.017525078,0.019715713,0.319743222,0.301122827,400,0.051282051
1.7,0.023,0.093582888,0.245771429,0.002,0.021371429,0.00%,0.00%,0.03,0.028333792,0.031874384,8.5,8,9,27.39342987,0.018620396,0.017525078,0.019715713,0.319743222,0.301122827,400,0.086956522
1.9,0.0171,0.083732057,0.204222857,0.0012,0.014331429,0.00%,0.00%,0.03,0.028333792,0.031874384,8.5,8,9,27.39342987,0.018620396,0.017525078,0.019715713,0.319743222,0.301122827,400,0.070175439
