qT,A,PreFactor,CS,dA,error,sysNorm,sysP2P,y,y_Low,y_High,QM,QM_Low,QM_High,SqrtS,xF,xF_Low,xF_High,x1,x2,frac_error
0.625,0.0291,0.020393044,1.426957179,0.00777,0.381012278,0.00%,0.00%,0.305620061,0.294199157,0.317949187,12.5,12,13,38.8,0.2,0.1,0.3,0.43732811,0.23732811,0.267010309
0.875,0.0272,0.01456646,1.867303415,0.00603,0.413964691,0.00%,0.00%,0.305620061,0.294199157,0.317949187,12.5,12,13,38.8,0.2,0.1,0.3,0.43732811,0.23732811,0.221691176
1.125,0.0209,0.011329469,1.844746704,0.00456,0.40249019,0.00%,0.00%,0.305620061,0.294199157,0.317949187,12.5,12,13,38.8,0.2,0.1,0.3,0.43732811,0.23732811,0.218181818
1.375,0.00726,0.009269565,0.78320825,0.00208,0.224390242,0.00%,0.00%,0.305620061,0.294199157,0.317949187,12.5,12,13,38.8,0.2,0.1,0.3,0.43732811,0.23732811,0.286501377
1.625,0.007,0.007843478,0.892461191,0.00255,0.325110862,0.00%,0.00%,0.305620061,0.294199157,0.317949187,12.5,12,13,38.8,0.2,0.1,0.3,0.43732811,0.23732811,0.364285714
1.875,0.00187,0.006797681,0.275093807,0.00088,0.129455909,0.00%,0.00%,0.305620061,0.294199157,0.317949187,12.5,12,13,38.8,0.2,0.1,0.3,0.43732811,0.23732811,0.470588235
2.125,0.00209,0.005997954,0.348452155,0.00147,0.245083573,0.00%,0.00%,0.305620061,0.294199157,0.317949187,12.5,12,13,38.8,0.2,0.1,0.3,0.43732811,0.23732811,0.703349282
2.375,0.00181,0.00536659,0.337271872,0.00127,0.236649325,0.00%,0.00%,0.305620061,0.294199157,0.317949187,12.5,12,13,38.8,0.2,0.1,0.3,0.43732811,0.23732811,0.701657459
2.625,0.00259,0.004855487,0.533417189,0.00205,0.422202794,0.00%,0.00%,0.305620061,0.294199157,0.317949187,12.5,12,13,38.8,0.2,0.1,0.3,0.43732811,0.23732811,0.791505792
0.125,0.0228,0.094394423,0.241539694,0.0178,0.188570463,0.00%,0.00%,0.283590852,0.273712348,0.294199157,13.5,13,14,38.8,0.2,0.1,0.3,0.462023414,0.262023414,0.780701754
0.375,0.00669,0.031464808,0.212618494,0.00368,0.116956062,0.00%,0.00%,0.283590852,0.273712348,0.294199157,13.5,13,14,38.8,0.2,0.1,0.3,0.462023414,0.262023414,0.550074738
0.625,0.00449,0.018878885,0.237831848,0.00235,0.124477693,0.00%,0.00%,0.283590852,0.273712348,0.294199157,13.5,13,14,38.8,0.2,0.1,0.3,0.462023414,0.262023414,0.523385301
0.875,0.00991,0.013484918,0.734895114,0.00434,0.321841049,0.00%,0.00%,0.283590852,0.273712348,0.294199157,13.5,13,14,38.8,0.2,0.1,0.3,0.462023414,0.262023414,0.437941473
1.125,0.00656,0.010488269,0.625460682,0.00335,0.319404464,0.00%,0.00%,0.283590852,0.273712348,0.294199157,13.5,13,14,38.8,0.2,0.1,0.3,0.462023414,0.262023414,0.510670732
1.375,0.0054,0.008581311,0.629274467,0.00228,0.265693664,0.00%,0.00%,0.283590852,0.273712348,0.294199157,13.5,13,14,38.8,0.2,0.1,0.3,0.462023414,0.262023414,0.422222222
1.625,0.000931,0.007261109,0.128217321,0.000623,0.085799561,0.00%,0.00%,0.283590852,0.273712348,0.294199157,13.5,13,14,38.8,0.2,0.1,0.3,0.462023414,0.262023414,0.669172932
0.125,0.0153,0.087870862,0.174119152,0.0207,0.23557297,0.00%,0.00%,0.264491615,0.255865709,0.273712348,14.5,14,15,38.8,0.2,0.1,0.3,0.486859362,0.286859362,1.352941176
0.375,0.00793,0.029290287,0.27073821,0.00509,0.173777741,0.00%,0.00%,0.264491615,0.255865709,0.273712348,14.5,14,15,38.8,0.2,0.1,0.3,0.486859362,0.286859362,0.64186633
0.875,0.00756,0.01255298,0.602247418,0.00388,0.309089945,0.00%,0.00%,0.264491615,0.255865709,0.273712348,14.5,14,15,38.8,0.2,0.1,0.3,0.486859362,0.286859362,0.513227513
1.125,0.00292,0.009763429,0.299075249,0.00172,0.176167612,0.00%,0.00%,0.264491615,0.255865709,0.273712348,14.5,14,15,38.8,0.2,0.1,0.3,0.486859362,0.286859362,0.589041096
1.375,0.00698,0.00798826,0.873782252,0.0071,0.888804297,0.00%,0.00%,0.264491615,0.255865709,0.273712348,14.5,14,15,38.8,0.2,0.1,0.3,0.486859362,0.286859362,1.017191977
1.625,0.00273,0.006759297,0.40388815,0.00183,0.27073821,0.00%,0.00%,0.264491615,0.255865709,0.273712348,14.5,14,15,38.8,0.2,0.1,0.3,0.486859362,0.286859362,0.67032967
0.25,0.2155,0.04717533,4.568065594,0.01616,0.342551926,0.00%,0.00%,0.6671546,0.637632422,0.699385465,9.46,8.96,9.96,38.8,0.35,0.1,0.6,0.47511744,0.12511744,0.074988399
0.5,0.237,0.023587665,10.04762455,0.0105,0.445147923,0.00%,0.00%,0.6671546,0.637632422,0.699385465,9.46,8.96,9.96,38.8,0.35,0.1,0.6,0.47511744,0.12511744,0.044303797
0.75,0.1765,0.01572511,11.22408692,0.008529,0.542380948,0.00%,0.00%,0.6671546,0.637632422,0.699385465,9.46,8.96,9.96,38.8,0.35,0.1,0.6,0.47511744,0.12511744,0.048322946
1.25,0.08338,0.009435066,8.837246153,0.00462,0.489662716,0.00%,0.00%,0.6671546,0.637632422,0.699385465,9.46,8.96,9.96,38.8,0.35,0.1,0.6,0.47511744,0.12511744,0.055408971
1.5,0.0736,0.007862555,9.360824901,0.00331,0.42098275,0.00%,0.00%,0.6671546,0.637632422,0.699385465,9.46,8.96,9.96,38.8,0.35,0.1,0.6,0.47511744,0.12511744,0.044972826
1.75,0.0345,0.006739333,5.119201118,0.00319,0.473340625,0.00%,0.00%,0.6671546,0.637632422,0.699385465,9.46,8.96,9.96,38.8,0.35,0.1,0.6,0.47511744,0.12511744,0.092463768
2,0.01715,0.005896916,2.908299765,0.00138,0.234020623,0.00%,0.00%,0.6671546,0.637632422,0.699385465,9.46,8.96,9.96,38.8,0.35,0.1,0.6,0.47511744,0.12511744,0.080466472
2.25,0.0126,0.005241703,2.403798786,0.0016,0.30524429,0.00%,0.00%,0.6671546,0.637632422,0.699385465,9.46,8.96,9.96,38.8,0.35,0.1,0.6,0.47511744,0.12511744,0.126984127
2.5,0.0158,0.004717533,3.349208185,0.00147,0.311603546,0.00%,0.00%,0.6671546,0.637632422,0.699385465,9.46,8.96,9.96,38.8,0.35,0.1,0.6,0.47511744,0.12511744,0.093037975
3,0.00353,0.003931277,0.897926954,0.0005333,0.13565565,0.00%,0.00%,0.6671546,0.637632422,0.699385465,9.46,8.96,9.96,38.8,0.35,0.1,0.6,0.47511744,0.12511744,0.151076487
3.5,0.0013,0.003369666,0.385794867,0.000743,0.220496605,0.00%,0.00%,0.6671546,0.637632422,0.699385465,9.46,8.96,9.96,38.8,0.35,0.1,0.6,0.47511744,0.12511744,0.571538462
