dataset,row_id,target,qT,qT_low,qT_high,QM,QM_Low,QM_High,y,y_Low,y_High,xF,xF_Low,xF_High,x1,x2,SqrtS,BeamE,CS,error,A,dA,PreFactor,sysNorm,sysP2P,unit,qT_over_Q,conversion_mode,source_file,source_row
E288_300,E288_300:52,,0.5,,,7.5,7.0,8.0,0.21,0.197047595,0.22476024,0.133758347,0.124841124,0.142675571,0.390019266,0.256260918,23.72340616,300.0,0.237,0.019,0.237,0.019,,,,,0.06666666666666667,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,52
E288_300,E288_300:53,,0.7,,,7.5,7.0,8.0,0.21,0.197047595,0.22476024,0.133758347,0.124841124,0.142675571,0.390019266,0.256260918,23.72340616,300.0,0.197,0.016,0.197,0.016,,,,,0.09333333333333332,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,53
E288_300,E288_300:54,,0.9,,,7.5,7.0,8.0,0.21,0.197047595,0.22476024,0.133758347,0.124841124,0.142675571,0.390019266,0.256260918,23.72340616,300.0,0.145,0.014,0.145,0.014,,,,,0.12000000000000001,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,54
E288_300,E288_300:55,,1.1,,,7.5,7.0,8.0,0.21,0.197047595,0.22476024,0.133758347,0.124841124,0.142675571,0.390019266,0.256260918,23.72340616,300.0,0.11,0.012,0.11,0.012,,,,,0.14666666666666667,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,55
E288_300,E288_300:56,,1.3,,,7.5,7.0,8.0,0.21,0.197047595,0.22476024,0.133758347,0.124841124,0.142675571,0.390019266,0.256260918,23.72340616,300.0,0.0781,0.0098,0.0781,0.0098,,,,,0.17333333333333334,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,56
E288_300,E288_300:57,,1.5,,,7.5,7.0,8.0,0.21,0.197047595,0.22476024,0.133758347,0.124841124,0.142675571,0.390019266,0.256260918,23.72340616,300.0,0.038,0.0072,0.038,0.0072,,,,,0.2,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,57
E288_300,E288_300:58,,1.7,,,7.5,7.0,8.0,0.21,0.197047595,0.22476024,0.133758347,0.124841124,0.142675571,0.390019266,0.256260918,23.72340616,300.0,0.0464,0.0082,0.0464,0.0082,,,,,0.22666666666666666,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,58
E288_300,E288_300:59,,1.9,,,7.5,7.0,8.0,0.21,0.197047595,0.22476024,0.133758347,0.124841124,0.142675571,0.390019266,0.256260918,23.72340616,300.0,0.0192,0.0049,0.0192,0.0049,,,,,0.2533333333333333,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,59
E288_300,E288_300:60,,2.1,,,7.5,7.0,8.0,0.21,0.197047595,0.22476024,0.133758347,0.124841124,0.142675571,0.390019266,0.256260918,23.72340616,300.0,0.025,0.006,0.025,0.006,,,,,0.28,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,60
E288_300,E288_300:61,,2.3,,,7.5,7.0,8.0,0.21,0.197047595,0.22476024,0.133758347,0.124841124,0.142675571,0.390019266,0.256260918,23.72340616,300.0,0.0118,0.0041,0.0118,0.0041,,,,,0.30666666666666664,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,61
